cod,name,ciudad
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
54,Fernando,Chia
56,Oleguna,Bogota
764,Crispis,Bogota
57,Lorenzo,Bogota
98,Messi,Bogota
9,Rooney,Chia
64,Tiaginho,Chia
75,Alves,Chia
g,Antonio,cartagena
34,Ismael,cartagena
